item_id,score,notes
R04e6258a,1,""
R4abf91b0,2,""
Re05e6c25,1,""
R847ecdd0,2,""
R08a4b884,0,""
R5cbb0536,1,""
R28d291bb-r2,2,""
R5e7b9573-r2,0,""
R5d7dba75,0,""
R4db02db9,0,""
Ra121df2b,2,""
R976e8e9f-r2,2,""
Rabb90235,1,""
Rfb4d309b,1,""
R76c38461,1,""
R5e7b9573,2,""
Rd78e263f,0,""
Rfbcb9660,2,""
R976e8e9f,0,""
Rbe008051,0,""
R2b8be9e8,1,""
R18bf4ffc,0,""
Rebb3f6d9-r2,2,""
R29f49635-r2,0,""
R3a3614da,1,""
Rf0e067d7,2,""
R1c7402e8,0,""
R05176648,1,""
R7f38b873,0,""
R5daf9d2d,2,""
R11db7e72,0,""
Rf8ddb5c3,1,""
R62d84785,0,""
R1b52e774,2,""
R28d291bb,0,""
R1694c0b6,0,""
R221f49e6,1,""
Reb0ef62e,0,""
Rbe9f38de,0,""
R81404150,2,""
R29f49635,0,""
R7fe5cc13,2,""
R7f38b873-r2,1,""
Rebb3f6d9,2,""
R5cbb0536-r2,2,""
Rb013e39d,2,""
Rc4d538b5,1,""
R847ecdd0-r2,0,""
Rb85131c3,0,""
