item_id,score,notes
R04e6258a,1,""
R4abf91b0,2,""
Re05e6c25,0,""
R847ecdd0,1,""
R08a4b884,2,""
R5cbb0536,1,""
R28d291bb-r2,1,""
R5e7b9573-r2,2,""
R5d7dba75,1,""
R4db02db9,2,""
Ra121df2b,1,""
R976e8e9f-r2,1,"may be wrong"
Rabb90235,1,""
Rfb4d309b,2,""
R76c38461,1,""
R5e7b9573,2,""
Rd78e263f,0,""
Rfbcb9660,0,""
R976e8e9f,1,""
Rbe008051,0,""
R2b8be9e8,2,""
R18bf4ffc,1,""
Rebb3f6d9-r2,0,""
R29f49635-r2,1,""
R3a3614da,2,""
Rf0e067d7,1,""
R1c7402e8,2,""
R05176648,1,""
R7f38b873,2,""
R5daf9d2d,0,""
R11db7e72,1,""
Rf8ddb5c3,0,""
R62d84785,2,""
R1b52e774,1,""
R28d291bb,2,""
R1694c0b6,0,""
R221f49e6,1,""
Reb0ef62e,1,""
Rbe9f38de,1,""
R81404150,0,""
R29f49635,2,""
R7fe5cc13,0,""
R7f38b873-r2,0,""
Rebb3f6d9,0,""
R5cbb0536-r2,1,""
Rb013e39d,2,""
Rc4d538b5,2,""
R847ecdd0-r2,2,""
Rb85131c3,2,""
